Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 12:34:28.9863,1.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.34,35.03,46.6,40.15,2023/03/09,01:46:54,152.09151,-23.5067756,17.918,12,
2023/03/09 12:34:29.0063,1.670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,35.27,46.6,40.23,2023/03/09,01:46:55,152.0915088,-23.5067776,18.319,12,
2023/03/09 12:34:29.0362,1.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,35.48,46.5,40.31,2023/03/09,01:46:56,152.0915093,-23.5067776,18.459,12,
2023/03/09 12:34:29.0562,1.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,35.05,46.9,40.2,2023/03/09,01:46:57,152.0915098,-23.5067775,18.432,12,
2023/03/09 12:34:29.0862,1.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,35.1,47.2,40.1,2023/03/09,01:46:58,152.0915108,-23.5067779,18.534,12,
2023/03/09 12:34:29.1160,1.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,35.57,47.2,40.17,2023/03/09,01:46:59,152.09151,-23.5067797,18.759,12,
2023/03/09 12:34:29.1362,1.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,35.88,46.9,40.24,2023/03/09,01:47:00,152.0915098,-23.5067796,18.876,12,
2023/03/09 12:34:29.1661,1.830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,35.96,46.9,40.27,2023/03/09,01:47:01,152.0915097,-23.5067811,19.066,12,
2023/03/09 12:34:29.1960,1.860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.3,36.54,46.8,40.33,2023/03/09,01:47:02,152.0915081,-23.5067825,19.205,12,
2023/03/09 12:34:29.2160,1.880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,36.62,46.2,40.37,2023/03/09,01:47:03,152.0915105,-23.5067811,18.789,12,
